iteration,n_points,max_acquisition,mean_integrated_variance,rmse_A,rmse_B,curve_rmse
1,22,0.0004754904081925,2.1260387893373437e-05,0.0065726698138976,0.0009825771712992,0.0238598669113936
2,23,8.97564430841595e-05,1.446037089991752e-05,0.0068649934359151,0.0010031294016943,0.0257041778686215
3,24,9.164477562318556e-05,1.5522515964201758e-05,0.0066811006648821,0.0010127964437381,0.0260625351598709
4,25,7.113534061240975e-05,1.3074969395451415e-05,0.0067713095396299,0.0010080244252159,0.0265729452815215
5,26,7.94534050865478e-05,1.1548584554021795e-05,0.0062183703565066,0.0009606252442043,0.0254471945134717
6,27,7.919215798604662e-05,1.3748790593116558e-05,0.0066003242427134,0.0009555028284941,0.027101062397945
7,28,0.0001523965299993,2.138542174048304e-05,0.0070704202089081,0.0009525224446936,0.0248380132324963
8,29,0.0001092348618383,1.8392785048573508e-05,0.0067935248784841,0.0009538733112115,0.0252941836141954
9,30,9.08967992830495e-05,1.7313615507846346e-05,0.0070439557875972,0.0009400302936067,0.0245102672735511
10,31,8.298071166232268e-05,1.5210184716434644e-05,0.0068553649400835,0.0009967315981171,0.0264305885437986
11,32,7.630849744260856e-05,1.5332342398676437e-05,0.0065803220220159,0.000994311840995,0.0267121851430612
12,33,6.999011129481952e-05,1.789270225468602e-05,0.0063400444076379,0.0010095578773635,0.0256364469970634
13,34,7.571059578085834e-05,1.341610064826297e-05,0.0066368837330418,0.0010011321988828,0.0261162477301038
14,35,6.396917895278714e-05,1.1865973105610808e-05,0.0066313736945664,0.0009889891083018,0.0251570521326909
15,36,4.852427413256852e-05,1.5483043250947044e-05,0.0063387501678997,0.0009853770934511,0.0225779684318683
16,37,4.050972828126623e-05,1.0412689987741372e-05,0.0063690362217777,0.0009904465984231,0.0248206138702964
17,38,3.829802267114879e-05,9.89376108986935e-06,0.0069851991520196,0.0009902854887578,0.0244594815528116
18,39,3.497523551383719e-05,9.45734019051704e-06,0.0068907785680208,0.0010079003189736,0.0243079728422655
19,40,4.333070779755782e-05,1.0677160224049444e-05,0.0062223622873255,0.0010141170579637,0.0247825396663158
20,41,4.516871498773042e-05,1.5278805801476172e-05,0.0064839885516561,0.0010471961589056,0.0235174706412624
21,42,3.555293347719951e-05,1.4123883723101143e-05,0.006474043641775,0.0010448785498107,0.0229948425857503
22,43,3.183182615495647e-05,9.228189678857006e-06,0.0060219860245377,0.001043482869937,0.0247794711737608
23,44,2.9756755564235016e-05,8.599412522637317e-06,0.0060366506598057,0.0010315928251722,0.0241269609950185
24,45,2.8136495243698267e-05,8.035836852074301e-06,0.0060622491519957,0.0010270661686,0.0236948799232031
25,46,3.925730602815855e-05,1.5269077120026547e-05,0.006442415316063,0.0009388742087332,0.0195373915115021
26,47,3.696076007617469e-05,1.4631952464016927e-05,0.0064191855220215,0.000915871264903,0.0186199977107698
27,48,4.013567757908329e-05,1.1098962989972874e-05,0.0059201282204719,0.0009149367689359,0.0204551257661833
28,49,3.1475633662597646e-05,1.3558847970261176e-05,0.0064194388043476,0.0008971375270529,0.0182187515509099
29,50,2.958261640066684e-05,1.3515698576186391e-05,0.0063986463544985,0.0008980913718982,0.0181135237185211
30,51,3.2844566879321885e-05,9.609221564347748e-06,0.0060008230785052,0.0008961100675674,0.0203530379253275
31,52,2.667189534760403e-05,1.226953442827528e-05,0.006426794904516,0.0008951458679408,0.0181673842291992
32,53,2.315728639204831e-05,8.66797773034951e-06,0.0056649397343317,0.0008834612833068,0.0201044832040278
33,54,2.2161779858840408e-05,8.247713747144774e-06,0.0056880796808781,0.0008832137684533,0.020029138337852
34,55,2.127994943714601e-05,7.850145776789573e-06,0.0057043447401916,0.0009292993018864,0.0213662073220171
35,56,2.5462133015938943e-05,7.606573289015853e-06,0.0054932494382165,0.0009420382015969,0.0216736403381007
36,57,3.367959471040072e-05,7.761895844353945e-06,0.0046782505387964,0.0009408874314137,0.0227380341649824
37,58,3.239623420707438e-05,9.315108895941756e-06,0.005091069344437,0.0009398428079639,0.0221423555466518
38,59,2.3567302003993373e-05,1.0601026885936056e-05,0.0065426122824645,0.0009325355361872,0.019958624367985
39,60,2.2617710406347413e-05,1.0151131884038932e-05,0.0063610898066564,0.0009331587198645,0.020233377659767
40,61,2.1848921866591403e-05,9.744806924754512e-06,0.0063068911661498,0.0009415843334105,0.0201627964294747
41,62,2.168142146623253e-05,6.926157887584218e-06,0.0052103448510846,0.0009417784507836,0.0215290046287887
42,63,2.1023343320769605e-05,7.363647374914731e-06,0.0057159585022709,0.0009335028565203,0.0218421925771708
43,64,1.9121261202684897e-05,7.04614143306742e-06,0.0056948245359776,0.0009403324022912,0.0217425701259895
44,65,2.489499405524884e-05,8.300451987832334e-06,0.0040870116183985,0.0008271518450501,0.0223820438686163
45,66,2.298288166251508e-05,8.184840541607514e-06,0.0041634135573131,0.0008285917526038,0.021953223843916
46,67,2.2632789720093e-05,8.060097989634235e-06,0.0041831208344975,0.0008356525990467,0.0224921157611803
